content,label,cluster
#爱奇艺遭美国证监会调查#有些人是失心疯了？爱奇艺虽然平时狗了点，但在美国的打压下，爱奇艺作为我国的企业不应该得到支持吗？,0,0
热点#港版国安法# @安普若-外号安校长 汪明荃带大家看没有集装箱的香港空码头！香港的资金、货物中转没有流到上海深圳海南，也没有流到台北东京，而是流到了50多年的老對手、同為亞洲四小龍的新加坡！仅4月新加坡外币存款同比飙涨4倍，达到了269.7亿新币，创1991年来最高记录！開戶數爆漲，都是香港資金  安普若-外号安校长的微博视频 ,1,1
【专访刘强东：未来计划在广东投入300亿】“未来5年将会在广东投入300亿人民币！”京东集团CEO刘强东在10日举行的第三届广东（国际）电商大会上接受采访时表示。“广东在不少电商领域拥有先天优势，京东的海外采购总部将会建在广州“，刘强东称，广东已经成为京东集团除了北京以外最重要的阵地。,0,2
85岁高龄的钟南山 院士，步履蹒跚，再度出征北京协和医院，对此希望他“钟”止疫情，“南”关将过，“山”河无恙。祝愿祖国安好！ 上海·西渡 划时代的传奇之旅的微博视频 ,1,3
【北京新机场拆迁记：村民抢盖房，政府怎么办？】两年前，北京新机场建设风声就已传遍，选址处村民们纷纷抢盖房，以期多获赔偿。然而北京市大兴区政府部门拿出的拆迁政策却叫“政府不多花，百姓不少得”。这如同天方夜谭的政策如何实施？一起来看看：http://t.cn/R4ZfGA0（央视记者王小节王鲁彬）,0,4
【有图有真相的告密者】出卖老毕的张清大起底——长期吃空饷，建议开除其公职： O有图有真相之出卖老毕的张清大起底-长期吃空... ,1,5
#动图#好奇心旺盛的猫头鹰~好可爱啊！[心],0,6
【李彦宏：未来10年，中国经济的标签是智能经济】#2020中关村论坛#今日开幕，李彦宏在演讲中表示，未来很多年，中国经济的成长动力来自创新，由创新带来效率提升。“未来10年，如果我们要给中国经济贴一个标签，应该叫做智能经济。”此外，李彦宏再次提到，百度对AI的投入是长期的、持续的，在过去十年中，#百度每年研发费用占整体收入15%以上#。他现场还展示了小度的应用场景和小度新发布的无线智能耳机的AI语音助手、智能翻译功能。http://t.cn/A64QKKLjhttp://t.cn/A64QmZWO,0,7
你想不想床上现在就有个干净的小桌，上面摆着：煎饼果子、油条、豆浆、馄饨、沙茶面、肠粉、烤红薯、炒板栗、米粉、酸辣粉、榴莲酥、烤馕、寿司、焖子、水饺、韭菜盒子、水煎包、千层饼、肉夹馍、热干面、......,0,8
【让人心碎，他本打算在终点线求婚的】推特账户YourGentleman发推文披露一男子本打算在马拉松比赛终点线向参加比赛的女友求婚，怎料女友在爆炸案中不幸丧生，自此天人永隔。他在推文中这样写道：“这……让人心碎。他本打算在终点线求婚的”。。。。by网站分析公会 [伤心],1,9
【悲报】本周的柯南中毛利兰的父亲死了。「net」,1,10
经过70个小时的奋战，北京协和医院新冠核酸采样方舱项目正式完工，将于明日起投入使用#疫情下的中国速度#乐陵市融媒体中心的微博视频,0,11
#海口全力疏导因雾滞留车辆#大雾笼罩，静候通行。天气不如人意，非常感谢在这特殊时期工作的交警和志愿者们护我们航行为我们送来温暖。@海南省交警总队@海南志愿者@海南省人民政府网站|海口,0,12
猴哥，你走了，带我向如来佛祖问好，噢！算了，我可能下地狱！ ,1,13
有需北京户口的青年请速洗干净到湖北大厦报名咨询！著名女士也可报名！ ,1,14
红十字会路虎一排排，权威人士爆料：位于北京北新桥三条8号的中国红十字总会的车库里，停着若干豪华公车。红会司局级以上领导，每人两辆。此举是为应付北京限行而为。本人对此未作调查，但结合最近爆出的红色黑幕，不管你信不信，反正我是信了。消息报料人，正是9年前揭开希望工程黑幕的一代名记方进玉 ,1,15
